,month,cat,predicted units,predicted sales,bp 2021-2023 sale,top demand account,customer,business channel,department
2,2023-04,NCA,92,4480,429772.59,902590,Rock Auto,B2B,rock auto
8,2023-04,PM8,104,527,26324702.67,903580,Parts Authority,WD,parcel
18,2023-04,AVP,9000,594935,2273998.58,902590,Rock Auto,B2B,rock auto
19,2023-04,C26,244,109819,65828361.98,900006,Auto Anything,B2B,parcel
23,2023-04,EBY,6500,1035484,187784734.3,902530,Amazon-Callahan,B2B,parcel
25,2023-04,H23,4,3003,12172950.380000003,900006,Auto Anything,B2B,parcel
26,2023-04,H26,8,5595,9350816.520000001,900006,Auto Anything,B2B,parcel
27,2023-04,H36,6,4436,2648202.4899999998,900006,Auto Anything,B2B,parcel
28,2023-04,JCW,342,40630,4063087.1999999997,900001,Carparts.com,B2B,parcel
32,2023-04,KCL,781,339808,277115013.44,900006,Auto Anything,B2B,parcel
33,2023-04,KCO,2984,662847,596393869.4399999,900006,Auto Anything,B2B,parcel
35,2023-04,KSC,0,370000,3064568.19,902590,Rock Auto,B2B,rock auto
37,2023-04,MDK,28,2627,4486827.37,900006,Auto Anything,B2B,parcel
56,2023-04,ADJ,101,1016,168456.36000000002,902590,Rock Auto,B2B,rock auto
58,2023-04,BRG,4477,135003,7876395.930000001,902590,Rock Auto,B2B,rock auto
63,2023-04,HUB,1339,58694,32514751.55,902590,Rock Auto,B2B,rock auto
64,2023-04,LFT,1141,19145,3587996.79,902590,Rock Auto,B2B,rock auto
70,2023-04,SHD,62,307,112347.62000000001,902590,Rock Auto,B2B,rock auto
71,2023-04,SHP,90,2060,1792706.24,903580,Parts Authority,WD,parcel
73,2023-04,ADD,27,265,34261.19,902590,Rock Auto,B2B,rock auto
83,2023-05,NCA,84,3626,429772.59,902590,Rock Auto,B2B,rock auto
89,2023-05,PM8,77,329,26324702.67,903580,Parts Authority,WD,parcel
99,2023-05,AVP,8700,575104,2273998.58,902590,Rock Auto,B2B,rock auto
100,2023-05,C26,288,130048,65828361.98,900006,Auto Anything,B2B,parcel
104,2023-05,EBY,8500,1354094,187784734.3,902530,Amazon-Callahan,B2B,parcel
106,2023-05,H23,7,5256,12172950.380000003,900006,Auto Anything,B2B,parcel
107,2023-05,H26,5,3497,9350816.520000001,900006,Auto Anything,B2B,parcel
108,2023-05,H36,5,3696,2648202.4899999998,900006,Auto Anything,B2B,parcel
109,2023-05,JCW,340,40470,4063087.1999999997,900001,Carparts.com,B2B,parcel
113,2023-05,KCL,890,384581,277115013.44,900006,Auto Anything,B2B,parcel
114,2023-05,KCO,3076,675466,596393869.4399999,900006,Auto Anything,B2B,parcel
116,2023-05,KSC,235,370000,3064568.19,902590,Rock Auto,B2B,rock auto
118,2023-05,MDK,24,2722,4486827.37,900006,Auto Anything,B2B,parcel
137,2023-05,ADJ,60,494,168456.36000000002,902590,Rock Auto,B2B,rock auto
139,2023-05,BRG,3903,117588,7876395.930000001,902590,Rock Auto,B2B,rock auto
144,2023-05,HUB,850,37259,32514751.55,902590,Rock Auto,B2B,rock auto
145,2023-05,LFT,747,11841,3587996.79,902590,Rock Auto,B2B,rock auto
151,2023-05,SHD,28,119,112347.62000000001,902590,Rock Auto,B2B,rock auto
152,2023-05,SHP,93,2107,1792706.24,903580,Parts Authority,WD,parcel
154,2023-05,ADD,25,245,34261.19,902590,Rock Auto,B2B,rock auto
164,2023-06,NCA,78,2986,429772.59,902590,Rock Auto,B2B,rock auto
170,2023-06,PM8,66,263,26324702.67,903580,Parts Authority,WD,parcel
180,2023-06,AVP,8800,581714,2273998.58,902590,Rock Auto,B2B,rock auto
181,2023-06,C26,273,122869,65828361.98,900006,Auto Anything,B2B,parcel
185,2023-06,EBY,12700,2023176,187784734.3,902530,Amazon-Callahan,B2B,parcel
187,2023-06,H23,11,7509,12172950.380000003,900006,Auto Anything,B2B,parcel
